576.0	31.0		28.0	11124755.0	232762931.0	Please Don't Go	Please Don't Go	Joel Adams	11/6/15	210580.0	73.0	513.0	118.0	768.0	0.00194	294.0	-4868.0	587.0	84264.0	4.0	0.0	235.0	4.0	6.0	0.0	1.0	1	1.0	joeladams	1323650.0
3992.0	1.0		158.0	4783834.0	4783834.0	Levitate	Trench	Twenty One Pilots	10/5/18	145946.0	63.0	7.0	857.0	934.0	226.0	114.0	-5941.0	17.0	92973.0	4.0	0.0	224.0	6.0	5.0	0.0	0.0	0	0.0	twentyonepilots	81275190.0
1732.0	10.0		88.0	5616808.0	45664136.0	Everyday	Dangerous Woman	Ariana Grande	5/20/16	194840.0	67.0	637.0	149.0	733.0	0.0	162.0	-4413.0	563.0	131004.0	4.0	0.0	431.0	7.0	5.0	0.0	1.0	1	1.0	arianagrande	2309495780.0
4410.0	1.0		184.0	3130022.0	3130022.0	Woman	Harry Styles	Harry Styles	5/12/17	278800.0	71.0	624.0	169.0	647.0	38.0	221.0	-468.0	335.0	136022.0	4.0	0.0	379.0	3.0	12.0	0.0	0.0	0	0.0	iiswhoiis	29511170.0
746.0	23.0		39.0	11307170.0	176875061.0	On My Way	On My Way	Alan Walker	3/21/19	193797.0	76.0	509.0	209.0	689.0	0.0	301.0	-4929.0	102.0	170087.0	4.0	0.0	297.0	1.0	3.0	0.0	1.0	1	1.0	alanwalkermusic	83219160.0
3660.0	1.0		147.0	5600868.0	5600868.0	Andere Welt	Andere Welt	Capital Bra	7/23/20	189686.0	63.0	692.0	574.0	764.0	0.0	106.0	-5233.0	113.0	84029.0	4.0	0.0	564.0	5.0	7.0	0.0	0.0	0	0.0	capital_bra	41856030.0
819.0	15.0	10.0	8.0	22191327.0	161755627.0	imagine	imagine	Ariana Grande	12/14/18	212293.0	0.0	714.0	374.0	474.0	0.0	106.0	-4993.0	39.0	62484.0	3.0	1.0	376.0	8.0	12.0	0.0	1.0	1	1.0	arianagrande	2309495780.0
987.0	20.0		32.0	8814434.0	128422588.0	The Mack	The Mack	Nevada	9/23/16	167038.0	0.0	707.0	707.0	883.0	0.0	23.0	-4281.0	602.0	106031.0	4.0	1.0	541.0	0.0	9.0	0.0	1.0	1	1.0	nevadawear.co	161010.0
3527.0	3.0		194.0	2095098.0	6196591.0	Baila Conmigo	Quiero Que Sepas	Juan Magï¿½n	6/24/16	196360.0	0.0	875.0	866.0	709.0	0.00171	604.0	-6692.0	923.0	99948.0	4.0	0.0	793.0	6.0	6.0	0.0	1.0	1	1.0	juanmagan	8255120.0
4524.0	1.0		165.0	2300787.0	2300787.0	WILD	WILD	Troye Sivan	9/4/15	227871.0	0.0	58.0	261.0	725.0	0.0	307.0	-5278.0	53.0	90054.0	4.0	1.0	368.0	3.0	4.0	0.0	0.0	0	1.0	troyesivan	114089250.0
3550.0	1.0		125.0	6067438.0	6067438.0	Runaway	Come Over When You're Sober, Pt. 2	Lil Peep	11/9/18	192760.0	70.0	399.0	44.0	591.0	616.0	446.0	-8792.0	52.0	79892.0	3.0	0.0	175.0	6.0	9.0	0.0	0.0	1	1.0	auroramusic	17229910.0
3675.0	1.0		83.0	5543260.0	5543260.0	Bloodstream	Memories...Do Not Open	The Chainsmokers	4/7/17	224280.0	56.0	62.0	317.0	627.0	0.0	172.0	-5889.0	259.0	90955.0	4.0	1.0	164.0	9.0	7.0	0.0	0.0	0	0.0	thechainsmokers	70478970.0
1265.0	13.0		77.0	7443990.0	84584652.0	Rewrite The Stars	Rewrite The Stars	Zac Efron	11/17/17	217440.0	74.0	684.0	716.0	619.0	0.0	122.0	-7005.0	386.0	125046.0	4.0	1.0	284.0	10.0	11.0	0.0	1.0	1	1.0	jamesarthur23	20849680.0
2140.0	3.0		23.0	15954601.0	28620033.0	Normal	Kamikaze	Eminem	8/31/18	222477.0	61.0	907.0	261.0	64.0	0.0	785.0	-6542.0	354.0	120995.0	4.0	1.0	803.0	6.0	8.0	0.0	0.0	1	1.0	eminem	319092360.0
521.0	30.0		15.0	14648618.0	258532843.0	Stargazing	Stargazing - EP	Kygo	9/21/17	236853.0	70.0	677.0	152.0	497.0	0.0	911.0	-5763.0	809.0	99137.0	4.0	1.0	419.0	5.0	9.0	0.0	1.0	1	1.0	kygomusic	40207050.0
2295.0	2.0		14.0	17704688.0	23962474.0	On God	JESUS IS KING	Kanye West	10/25/19	136350.0	62.0	41.0	671.0	886.0	0.0	461.0	-4413.0	155.0	72577.0	4.0	0.0	393.0	9.0	10.0	0.0	0.0	0	1.0	yeezyboosts	9808990.0
3563.0	1.0		126.0	6013371.0	6013371.0	MODUS	Nectar	Joji	9/24/20	207265.0	51.0	738.0	183.0	533.0	252.0	115.0	-7617.0	492.0	132008.0	4.0	1.0	262.0	7.0	9.0	0.0	0.0	0	0.0	sushitrash	55430660.0
178.0	58.0	50.0	2.0	31063488.0	542207088.0	Galway Girl	ï¿½ (Deluxe)	Ed Sheeran	3/3/17	170826.0	79.0	624.0	735.0	876.0	0.0	327.0	-3374.0	1.0	99943.0	4.0	1.0	781.0	9.0	3.0	0.0	1.0	1	1.0	edsheeran	10358640.0
468.0	60.0		51.0	8662342.0	281557178.0	Whatever It Takes	Evolve	Imagine Dragons	6/23/17	201240.0	0.0	675.0	429.0	649.0	0.0	128.0	-4953.0	315.0	134955.0	4.0	1.0	537.0	1.0	6.0	0.0	1.0	1	1.0	imaginedragons	50274790.0
911.0	19.0		16.0	16130395.0	142691584.0	Everyday	AT.LONG.LAST.A$AP	A$AP Rocky	5/26/15	260986.0	75.0	394.0	996.0	661.0	0.0	343.0	-8684.0	192.0	149818.0	4.0	1.0	335.0	4.0	5.0	0.0	1.0	1	1.0	logic	66509060.0
233.0	91.0	10.0	10.0	23545568.0	476467704.0	Happier	ï¿½ (Deluxe)	Ed Sheeran	3/3/17	207520.0	81.0	522.0	536.0	385.0	0.0	135.0	-7355.0	288.0	89792.0	4.0	1.0	236.0	0.0	3.0	1.0	1.0	1	1.0	edsheeran	10358640.0
2431.0	2.0		33.0	14542269.0	20627791.0	epiphany	folklore	Taylor Swift	7/24/20	289749.0	68.0	354.0	731.0	267.0	402.0	858.0	-1369.0	281.0	94219.0	4.0	1.0	113.0	1.0	7.0	0.0	0.0	0	1.0	taylorswift	1533557920.0
4633.0	1.0		163.0	1534288.0	1534288.0	Back Together	Back Together	Robin Thicke	8/6/15	224306.0	0.0	737.0	983.0	78.0	0.0	996.0	-532.0	746.0	117899.0	4.0	0.0	806.0	10.0	6.0	0.0	0.0	0	0.0	robinthicke	6771950.0
2237.0	5.0		93.0	6171255.0	25355815.0	Sober	Revival (Deluxe)	Selena Gomez	10/9/15	194826.0	51.0	573.0	171.0	741.0	0.0	104.0	-322.0	788.0	92021.0	4.0	1.0	526.0	9.0	9.0	0.0	0.0	0	1.0	ddlovato	1024711630.0
2923.0	1.0		49.0	12059592.0	12059592.0	That Way	That Way	Lil Uzi Vert	3/1/20	212354.0	69.0	719.0	582.0	611.0	0.0	155.0	-501.0	403.0	129962.0	4.0	0.0	489.0	7.0	1.0	0.0	0.0	0	0.0	liluzivert	148848000.0
2077.0	8.0		127.0	4182218.0	30243854.0	TG4M	So Good	Zara Larsson	3/17/17	172893.0	51.0	667.0	235.0	648.0	0.00152	427.0	-6398.0	626.0	95031.0	4.0	0.0	589.0	3.0	3.0	0.0	0.0	1	1.0	zaralarsson	63505270.0
1079.0	16.0		55.0	8647234.0	110034730.0	Walk Me Home	Walk Me Home	P!nk	2/20/19	177390.0	69.0	652.0	507.0	453.0	0.0	179.0	-6119.0	445.0	88039.0	3.0	1.0	432.0	1.0	2.0	0.0	0.0	1	1.0	pink	81733650.0
514.0	31.0		27.0	14331450.0	261346436.0	Tutu	Tutu	Camilo	8/9/19	178613.0	75.0	731.0	273.0	832.0	0.0	665.0	-2592.0	503.0	146013.0	4.0	1.0	94.0	9.0	9.0	0.0	1.0	1	1.0	camilo	215390820.0
70.0	78.0	70.0	1.0	48161108.0	875935511.0	HIGHEST IN THE ROOM	HIGHEST IN THE ROOM	Travis Scott	10/4/19	175720.0	86.0	598.0	546.0	427.0	0.000583	21.0	-8764.0	317.0	76469.0	4.0	0.0	605.0	7.0	4.0	1.0	1.0	1	1.0	travisscott	386783140.0
2032.0	6.0		28.0	10300497.0	31939705.0	Secrets	Club Life, Vol. 4 - New York City	Tiï¿½sto	5/18/15	250946.0	0.0	648.0	329.0	812.0	369.0	857.0	-7585.0	414.0	128178.0	4.0	0.0	122.0	11.0	5.0	0.0	0.0	1	1.0	theweeknd	301627660.0
3754.0	1.0		139.0	5306289.0	5306289.0	Used 2	Tha Carter V	Lil Wayne	9/28/18	240199.0	54.0	677.0	337.0	665.0	0.0	115.0	-6949.0	487.0	87637.0	4.0	1.0	522.0	5.0	9.0	0.0	0.0	0	0.0	liltunechi	132529080.0
1702.0	8.0		82.0	7483451.0	47662929.0	Wolves	The Life Of Pablo	Kanye West	4/1/16	301586.0	0.0	551.0	193.0	403.0	219.0	133.0	-802.0	61.0	78252.0	4.0	1.0	119.0	1.0	1.0	0.0	1.0	1	1.0	sean_levyy	164440.0
4589.0	2.0		167.0	1498029.0	1873439.0	Freak Of The Week	The Long Way Home (Deluxe)	Krept & Konan	4/13/15	225060.0	0.0	759.0	164.0	564.0	0.0	241.0	-6873.0	263.0	94996.0	4.0	0.0	475.0	11.0	4.0	0.0	0.0	0	0.0	kreptandkonan	678800.0
1311.0	30.0		22.0	4838041.0	79307690.0	Anaconda	Anaconda	Nicki Minaj	8/4/14	260826.0	0.0	948.0	582.0	632.0	106.0	204.0	-5463.0	146.0	130018.0	4.0	1.0	742.0	2.0	4.0	0.0	0.0	1	1.0	nickiminaj	1328457130.0
1870.0	3.0		12.0	25910256.0	39053607.0	8 Out Of 10	Scorpion	Drake	6/29/18	195720.0	0.0	534.0	164.0	684.0	0.0	499.0	-7874.0	717.0	170416.0	4.0	0.0	338.0	11.0	6.0	0.0	0.0	1	1.0	champagnepapi	779423260.0
1041.0	17.0		42.0	10413301.0	116651292.0	Diamonds	Unapologetic (Deluxe)	Rihanna	12/11/12	225146.0	57.0	564.0	125.0	71.0	0.0	109.0	-492.0	461.0	91972.0	4.0	0.0	393.0	11.0	11.0	0.0	0.0	1	1.0	samsmith	152458220.0
2991.0	2.0		135.0	5538309.0	11050567.0	Thotiana	Famous Cryp	Blueface	12/18/18	129264.0	9.0	906.0	18.0	382.0	0.0	113.0	-1289.0	269.0	104025.0	4.0	0.0	391.0	10.0	12.0	0.0	1.0	1	1.0	blueface_bleedeem	271180.0
858.0	29.0		40.0	7798359.0	153960755.0	Sexual	Sexual	NEIKED	6/9/16	188888.0	0.0	797.0	692.0	567.0	0.0	705.0	-7503.0	651.0	108024.0	4.0	1.0	843.0	2.0	9.0	0.0	1.0	1	1.0	neikedmusic	103060.0
354.0	46.0		21.0	14718755.0	348985917.0	Bodak Yellow	Bodak Yellow	Cardi B	6/16/17	223962.0	64.0	929.0	672.0	723.0	0.0	346.0	-5792.0	109.0	125022.0	4.0	0.0	458.0	11.0	6.0	0.0	1.0	1	1.0	iamcardib	886370640.0
